node_id,mean_sp_to_ext_km_before,mean_sp_to_ext_km_after,delta_km,pct_change
metro_rail_gtfs::80137,17.525492869113705,9.434617869513986,-8.09087499959972,-46.16631931566835
metro_rail_gtfs::80136,15.974542274885945,7.883667275286227,-8.090874999599718,-50.648556061099946
metro_rail_gtfs::80138,18.693785673315425,10.602910673715709,-8.090874999599716,-43.28109426839686
metro_rail_gtfs::80139,20.13048178900427,12.039606789404559,-8.090874999599713,-40.19215776553909
metro_rail_gtfs::80133,14.6170174087998,12.605108402624493,-2.0119090061753067,-13.764155503872416
metro_rail_gtfs::80132,14.819305052287048,14.021121907035228,-0.7981831452518181,-5.386103750719642
metro_rail_gtfs::80130,16.612732085601504,17.157403115130446,0.5446710295289413,3.278636089009198
metro_rail_gtfs::80418,44.91173852591856,45.69649771750586,0.7847591915873054,1.7473364811616476
metro_rail_gtfs::80112,40.01764021192711,40.80239940351442,0.7847591915873127,1.961033152957925
metro_rail_gtfs::80423,58.52622200985323,59.31098120144054,0.7847591915873127,1.3408676737329703
metro_rail_gtfs::80401,37.57679802801668,38.361557219603995,0.7847591915873127,2.0884142150755056
metro_rail_gtfs::80105,57.07502172667787,57.85978091826518,0.7847591915873127,1.3749608284783226
metro_rail_gtfs::80108,52.732296803656595,53.51705599524391,0.7847591915873127,1.4881945963956105
metro_rail_gtfs::80115,34.85426519720741,35.639024388794724,0.7847591915873127,2.2515442145949733
metro_rail_gtfs::80106,56.26774653807874,57.05250572966605,0.7847591915873127,1.394687436178439
metro_rail_gtfs::80419,46.44410661708236,47.228865808669674,0.7847591915873127,1.689685190970332
metro_rail_gtfs::80410,31.167066007857418,31.95182519944473,0.7847591915873127,2.517911668007087
metro_rail_gtfs::80101,58.68278642281157,59.46754561439888,0.7847591915873127,1.337290267597545
metro_rail_gtfs::80120,26.898242234630388,27.683001426217704,0.7847591915873163,2.917511057941812
metro_rail_gtfs::80407,30.599689509495068,31.384448701082384,0.7847591915873163,2.5645985438636756
metro_rail_gtfs::80128,18.24108349702652,19.025842688613835,0.7847591915873163,4.302152291091919
metro_rail_gtfs::80121,26.004838638531382,26.789597830118698,0.7847591915873163,3.0177429765879733
metro_rail_gtfs::80122,27.108771859009366,27.893531050596682,0.7847591915873163,2.8948533547325144
metro_rail_gtfs::80119,28.354963848979388,29.139723040566704,0.7847591915873163,2.767625435063156
metro_rail_gtfs::80126,22.298423966493687,23.083183158081003,0.7847591915873163,3.5193482407838337
metro_rail_gtfs::80114,36.42535010590242,37.21010929748974,0.78475919158732,2.154431431148156
metro_rail_gtfs::80117,31.609531829235475,32.39429102082279,0.78475919158732,2.4826662913795534
metro_rail_gtfs::80129,17.212952490747448,17.997711682334767,0.78475919158732,4.559120185855129
metro_rail_gtfs::80422,55.92420497737737,56.70896416896469,0.78475919158732,1.4032549803877823
metro_rail_gtfs::81402,28.623029682487747,29.407788874075067,0.78475919158732,2.741705543726751
metro_rail_gtfs::80102,58.21167796328677,58.99643715487409,0.78475919158732,1.3481129887412897
metro_rail_gtfs::80404,34.0988964535871,34.88365564517443,0.78475919158732,2.3014210816337592
metro_rail_gtfs::80409,30.294047584196708,31.078806775784027,0.78475919158732,2.5904732254949647
metro_rail_gtfs::80154,57.99038202109376,58.77514121268108,0.78475919158732,1.3532574958755526
metro_rail_gtfs::80417,44.19207053543404,44.97682972702136,0.78475919158732,1.7757918605739127
metro_rail_gtfs::80153,58.53058674478318,59.3153459363705,0.78475919158732,1.3407676827317392
metro_rail_gtfs::81401,28.064540884265067,28.849300075852387,0.78475919158732,2.796265917278235
metro_rail_gtfs::80113,38.35914572991798,39.143904921505296,0.78475919158732,2.045820303488281
metro_rail_gtfs::80111,43.63058211021995,44.41534130180727,0.78475919158732,1.7986447891179966
metro_rail_gtfs::80124,23.658374927630543,24.443134119217866,0.7847591915873235,3.317046052350814
metro_rail_gtfs::80123,24.539895464687493,25.324654656274816,0.7847591915873235,3.1978913386838963
metro_rail_gtfs::80405,32.145070507883844,32.92982969947117,0.7847591915873272,2.4413049316375233
metro_rail_gtfs::81403,29.41120025722191,30.195959448809237,0.7847591915873272,2.6682324581249617
metro_rail_gtfs::80127,20.697490737265124,21.482249928852454,0.7847591915873272,3.791566821065875
metro_rail_gtfs::80107,54.26702500643201,55.05178419801934,0.7847591915873345,1.4461068973180689
