station_a,station_b,lon_a,lat_a,lon_b,lat_b,euclidean_m,euclidean_km,demand_proxy,effective_resistance,n_tracts_buffer,mean_accessibility_buffer,pct_desert_tracts_buffer,unmet_need,impact_score
metro_rail_gtfs::80409,metro_rail_gtfs::80414,-118.234759,34.056061,-118.192606,34.111179,7254.8534675813335,7.254853467581333,48027391.42447776,7514.955315661184,34,654953.4705882353,0.0,0.24213918623775643,360923700482.71954
metro_rail_gtfs::80401,metro_rail_gtfs::80406,-118.154469,34.033398,-118.219648,34.047215,6199.064391457202,6.199064391457202,45723821.39173627,6400.536728439609,34,680352.1176470588,0.0,0.2127498628844927,292656998182.42065
metro_rail_gtfs::80113,metro_rail_gtfs::80117,-118.243159,33.94222,-118.243303,34.00292,6749.545109621005,6.749545109621005,43017518.47609622,6753.613900682584,31,510163.32258064515,0.0,0.4096789952798173,290523710753.0333
metro_rail_gtfs::80120,metro_rail_gtfs::80123,-118.269333,34.033155,-118.273603,34.029112,597.4406579386304,0.5974406579386303,122575052.75381336,2360.3467699430366,10,882302.0,0.0,0.0,289319629843.06067
metro_rail_gtfs::80407,metro_rail_gtfs::80410,-118.22594,34.047634,-118.23584,34.063861,2021.7600620843102,2.02176006208431,91552682.53421097,2947.3550029085864,16,777538.5625,0.0,0.10029332743509878,269838256896.90823
metro_rail_gtfs::80130,metro_rail_gtfs::80132,-118.355159,34.024803,-118.388986,34.027896,3136.281208088611,3.136281208088611,64607409.47234656,3138.2812080953954,16,694156.75,0.0,0.19677622448344356,202756219050.78964
metro_rail_gtfs::80136,metro_rail_gtfs::80137,-118.452896,34.031705,-118.46912,34.027995,1550.9505942277603,1.5509505942277604,105631599.59957537,1551.950594227812,12,392097.9166666667,0.0,0.546295027748162,163935023767.7953
metro_rail_gtfs::80406,metro_rail_gtfs::80409,-118.219648,34.047215,-118.234759,34.056061,1704.5905408023616,1.7045905408023616,47055699.17937677,2655.908369329978,17,790709.0,0.0,0.08505352960275792,124975625275.18056
metro_rail_gtfs::80106,metro_rail_gtfs::80107,-118.189382,33.78909,-118.189834,33.807079,2000.7215316467318,2.000721531646732,46435917.95811902,2001.72153164669,15,56498.066666666666,6.666666666666667,0.9346248661885286,92951776818.54604
metro_rail_gtfs::80102,metro_rail_gtfs::80154,-118.1937,33.772258,-118.189412,33.773598,423.4244185071971,0.42342441850719714,105555064.02891101,815.1840298621173,10,61334.4,0.0,0.929028640379795,86046802467.4415
metro_rail_gtfs::80102,metro_rail_gtfs::80105,-118.1937,33.772258,-118.189384,33.78183,1136.656236608916,1.1366562366089161,98283315.75441627,757.6184102019106,12,63806.583333333336,0.0,0.9261680236231776,74461249431.23325
metro_rail_gtfs::80405,metro_rail_gtfs::80406,-118.210061,34.043747,-118.219648,34.047215,963.8092083067079,0.9638092083067079,35214875.069852225,964.8092083067168,14,754024.4285714285,0.0,0.12750203992274534,33975635736.76406
